First Name,Last Name,Email,Password,Role,Organisation,Facility Type,Office,Language
Test,User,test@ifrc.org,eden,"reader/0,inv_editor/0,project_editor/0,staff_editor/0,vol_editor/0,survey_editor/0,member_editor/0,vulnerability_editor/0",International Federation of Red Cross and Red Crescent Societies,,,
Adriana,Macedo,adriana.macedo@redcross.tl,eden,"reader/0,inv_editor,project_editor,staff_editor,vol_editor,survey_editor,member_editor,vulnerability_editor",Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,,
Duarte,Botelheiro,duarte.botelheiro@redcross.tl,eden,"reader/0,inv_editor,project_editor,staff_editor,vol_editor,survey_editor,member_editor,vulnerability_editor",Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,,
Beatriz,de Carvalho,beatriz.decarvalho@redcross.tl,eden,"reader/0,inv_editor,project_editor,staff_editor,vol_editor,survey_editor,member_editor,vulnerability_editor",Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,,
Yakobus,Sereno,yakobus.serena@redcross.tl,eden,"reader/0,inv_editor,project_editor,staff_editor,vol_editor,survey_editor,member_editor,vulnerability_editor",Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,,
Liliana,Otilia,liliana.otilia@redcross.tl,eden,"reader/0,inv_editor,project_editor,staff_editor,vol_editor,survey_editor,member_editor,vulnerability_editor",Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,,
Eduardo,dos Santos,eduardo.dossantos@redcross.tl,eden,"reader/0,inv_editor,project_editor,staff_editor,vol_editor,survey_editor,member_editor,vulnerability_editor",Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,,
Margarida,Martins,margarida.martins@redcross.tl,eden,"reader/0,inv_editor,project_editor,staff_editor,vol_editor,survey_editor,member_editor,vulnerability_editor",Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,,
Eeru,Hykka,eeru.hykka@punainenristi.fi,eden,reader/0,Finnish Red Cross,,,
Asset,Reader,asset_reader@example.com,eden,"reader/0,asset_reader/0",International Federation of Red Cross and Red Crescent Societies,,,
Asset,Data Entry,asset_data_entry@example.com,eden,"reader/0,asset_data_entry/0",International Federation of Red Cross and Red Crescent Societies,,,
Asset,Editor,asset_editor@example.com,eden,"reader/0,asset_editor/0",International Federation of Red Cross and Red Crescent Societies,,,
Asset,Super Editor,asset_super@example.com,eden,"reader/0,asset_super/0",International Federation of Red Cross and Red Crescent Societies,,,
Warehouse,Reader,inv_reader@example.com,eden,"reader/0,inv_reader/0",International Federation of Red Cross and Red Crescent Societies,,,
Warehouse,Data Entry,inv_data_entry@example.com,eden,"reader/0,inv_data_entry/0",International Federation of Red Cross and Red Crescent Societies,,,
Warehouse,Editor,inv_editor@example.com,eden,"reader/0,inv_editor/0",International Federation of Red Cross and Red Crescent Societies,,,
Warehouse,Super Editor,inv_super@example.com,eden,"reader/0,inv_super/0",International Federation of Red Cross and Red Crescent Societies,,,
Incident,Reader,irs_reader@example.com,eden,"reader/0,irs_reader/0",International Federation of Red Cross and Red Crescent Societies,,,
Incident,Data Entry,irs_data_entry@example.com,eden,"reader/0,irs_data_entry/0",International Federation of Red Cross and Red Crescent Societies,,,
