"First Name","Last Name","Email","Password","Role","Organisation"
"Test","User","test@example.com","eden","inv_editor,project_editor,staff_editor,vol_editor,staff_editor,member_editor","ONUCI"
"Adriana","Macedo","adriana.macedo@redcross.tl","eden","inv_editor,project_editor,staff_editor,vol_editor,staff_editor,member_editor","ONUCI"
"Duarte","Botelheiro","duarte.botelheiro@redcross.tl","eden","inv_editor,project_editor,staff_editor,vol_editor,staff_editor,member_editor","ONUCI"
"Beatriz","de Carvalho","beatriz.decarvalho@redcross.tl","eden","inv_editor,project_editor,staff_editor,vol_editor,staff_editor,member_editor","ONUCI"
"Yakobus","Sereno","yakobus.serena@redcross.tl","eden","inv_editor,project_editor,staff_editor,vol_editor,staff_editor,member_editor","ONUCI"
"Liliana","Otilia","liliana.otilia@redcross.tl","eden","inv_editor,project_editor,staff_editor,vol_editor,staff_editor,member_editor","ONUCI"
"Eduardo","dos Santos","eduardo.dossantos@redcross.tl","eden","inv_editor,project_editor,staff_editor,vol_editor,staff_editor,member_editor","ONUCI"
"Margarida","Martins","margarida.martins@redcross.tl","eden","inv_editor,project_editor,staff_editor,vol_editor,staff_editor,member_editor","ONUCI"
"Asset ","Reader","asset_reader@example.com","eden","asset_reader","ONUCI"
"Asset ","Data Entry","asset_data_entry@example.com","eden","asset_data_entry","ONUCI"
"Asset ","Editor","asset_editor@example.com","eden","asset_editor","ONUCI"
"Asset ","Super Editor","asset_super@example.com","eden","asset_super","ONUCI"
"Warehouse ","Reader","inv_reader@example.com","eden","inv_reader","ONUCI"
"Warehouse ","Data Entry","inv_data_entry@example.com","eden","inv_data_entry","ONUCI"
"Warehouse ","Editor","inv_editor@example.com","eden","inv_editor","ONUCI"
"Warehouse ","Super Editor","inv_super@example.com","eden","inv_super","ONUCI"
"Incident ","Reader","irs_reader@example.com","eden","irs_reader","MONUC"
"Incident ","Data Entry","irs_data_entry@example.com","eden","irs_data_entry","MONUC"
"Incident ","Editor","irs_editor@example.com","eden","irs_editor","MONUC"
"Incident ","Super Editor","irs_super@example.com","eden","irs_super","MONUC"
"Members ","Reader","member_reader@example.com","eden","member_reader","MONUC"
"Members ","Data Entry","member_data_entry@example.com","eden","member_data_entry","MONUC"
"Members ","Editor","member_editor@example.com","eden","member_editor","MONUC"
"Members ","Super Editor","member_super@example.com","eden","member_super","MONUC"
"Project ","Reader","project_reader@example.com","eden","project_reader","MONUC"
"Project ","Data Entry","project_data_entry@example.com","eden","project_data_entry","MONUC"
"Project ","Editor","project_editor@example.com","eden","project_editor","MONUC"
"Project ","Super Editor","project_super@example.com","eden","project_super","MONUC"
"Staff ","Reader","staff_reader@example.com","eden","staff_reader","MONUC"
"Staff ","Data Entry","staff_data_entry@example.com","eden","staff_data_entry","MONUC"
"Staff ","Editor","staff_editor@example.com","eden","staff_editor","MONUC"
"Staff ","Super Editor","staff_super@example.com","eden","staff_super","MONUC"
"Volunteer ","Reader","vol_reader@example.com","eden","vol_reader","MONUC"
"Volunteer ","Data Entry","vol_data_entry@example.com","eden","vol_data_entry","MONUC"
"Volunteer ","Editor","vol_editor@example.com","eden","vol_editor","MONUC"
"Volunteer ","Super Editor","vol_super@example.com","eden","vol_super","MONUC"
"Assessment ","Reader","survey_reader@example.com","eden","survey_reader/0","MONUC"
"Assessment ","Data Entry","survey_data_entry@example.com","eden","survey_data_entry/0","MONUC"
"Assessment ","Editor","survey_editor@example.com","eden","survey_editor/0","MONUC"
"Assessment ","Super Editor","survey_super@example.com","eden","survey_super/0","ONUCI"
