"Template","Series","Organisation","STD-L0","STD-L1","STD-L2","STD-L3","STD-Lat","STD-Lon",,"24H-2","24H-5","STD-DATE","STD-TIME","24H-1","24H-3","STD-WHO","24H-4","24H-6","24H-7","24H-8","24H-9","24H-10","24H-11","24H-12","24H-13","24H-14","24H-15","24H-16","24H-17","24H-18","24H-26","24H-27","24H-28","24H-34","24H-35","24H-36","24H-19","24H-20","24H-21","24H-22","24H-23","24H-24","24H-25","24H-37","24H-38","24H-39","24H-40","24H-41","24H-42","24H-43","24H-44","24H-45","24H-46","24H-47","24H-48","24H-29","24H-30","24H-31","24H-32","24H-33"
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Ainaro","Hatu-Udo","Leolima",-9.13087,125.59697,"No","+(670) 2331-4144","1/03/12","13:42","Tropical Storm Bulegila",634,"Ms. Sergio Freitas","Ms. Mario Moniz",38,19,13,56,25,299,380,76,197,323,,,"Boat",,,,,,,,,,,,,,,,,,,,,"Don't Know","Yes","Don't Know",,"Rural","No","No","No","No","Raisoro",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Manufahi","Alas","Mahaquidan",-9.02565,125.79127,"No","+(670) 7699-5077","2/03/12","18:57","Tropical Storm Bulegila",1284,"Mr. Mariano da Costa Belo","Ms. Francisco Rogerio",77,39,26,95,46,1037,488,539,937,655,,,"Boat",,,,,,,,,,,,,,,,,,,,,"Don't Know","Yes","Yes","Timor-Leste Emergency Response Corp","Peri-Urban","No","No","No","No","Beremanek",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Lautem","Lautem","Euquisi",-8.43194,126.74722,"No","+(670) 7432-9048","3/03/12","12:20","Tropical Storm Bulegila",822,"Mr. Daniela Adevinha","Mr. Duarte Ojeda",33,16,16,72,28,248,633,386,304,206,,,"Boat",,,,,,,,,,,,,,,,,,,,,"Don't Know","Yes","Yes","Timor-Leste Emergency Response Corp","Rural","No","No","No","No","Taleta",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Manatuto","Barique/natarbora","Barique",-8.84802,126.06325,"No","+(670) 4462-3564","4/03/12","11:55","Tropical Storm Bulegila",514,"Mr. Paulo Antonio Belo","Mr. Mafalda Gohan",31,10,10,39,16,376,324,267,139,293,,,"Boat",,,,,,,,,,,,,,,,,,,,,"Don't Know","Yes","No",,"Rural","No","No","No","No","Webani",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Viqueque","Uatucarbau","Uani uma",-8.75729,126.65859,"No","+(670) 3266-2173","5/03/12","18:23","Tropical Storm Bulegila",1294,"Mr. Alexandra Botelheiro","Ms. Francisco Rogerio",52,26,39,91,54,691,181,479,414,492,,,"Boat",,,,,,,,,,,,,,,,,,,,,"Yes","No","Don't Know",,"Peri-Urban","No","No","No","No","Kadilale",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Ainaro","Hatu-Udo","Leolima",-9.15373,125.57941,"No","+(670) 1096-7971","6/03/12","13:29","Tropical Storm Bulegila",877,"Ms. Joao Bercamns","Mr. Josefa Domingas",44,26,18,84,42,719,667,368,246,158,,,"Boat",,,,,,,,,,,,,,,,,,,,,"Don't Know","Don't Know","No",,"Rural","No","No","No","No","Hutseo 2",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Manufahi","Alas","Mahaquidan",-9.02025,125.78933,"No","+(670) 1305-3826","7/03/12","11:13","Tropical Storm Bulegila",264,"Ms. Paulo Polainos","Mr. Edi Freitas",11,5,5,20,9,84,98,26,90,116,,,"Boat",,,,,,,,,,,,,,,,,,,,,"No","Yes","No",,"Rural","No","No","No","No","Alas",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Lautem","Lautem","Maina II",-8.46686,126.8839,"No","+(670) 2309-8213","8/03/12","16:15","Tropical Storm Bulegila",745,"Mr. Paulo Guterres","Mr. Nilton Direitinho",22,22,22,75,36,738,477,417,89,119,,,"Boat",,,,,,,,,,,,,,,,,,,,,"No","No","No",,"Rural","No","No","No","No","Lereado",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Manatuto","Barique/natarbora","Barique",-8.84661,126.06213,"No","+(670) 3751-2891","9/03/12","8:53","Tropical Storm Bulegila",1313,"Mr. Filomeno de Araujo","Ms. Jose Hendrigue Pinto",66,26,26,95,42,402,144,249,840,184,,,"Boat",,,,,,,,,,,,,,,,,,,,,"Don't Know","Don't Know","Yes","Helping Hands International","Peri-Urban","No","No","No","No","Barique",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Viqueque","Uatucarbau","Uani uma",-8.75577,126.68472,"No","+(670) 9513-8410","10/03/12","18:03","Tropical Storm Bulegila",113,"Mr. Donato Pinheiro","Mr. Nilton Direitinho",6,3,3,11,4,63,42,64,86,59,,,"Boat",,,,,,,,,,,,,,,,,,,,,"Yes","Don't Know","Yes","Helping Hands International","Rural","No","No","No","No","Uaniuma",
