"Sex","First Name","Last Name","Type","Email","Mobile Phone","Organisation","Acronym","Office Phone","Office","Title","Home Address","Home Country","Home L1","Home L2","Home L3","Home Lat","Home Lon"
"Mr.","Quito","Duarte","Staff","quito.cromos@redcross.tl",,"Timor-Leste Red Cross Society","CVTL","+670 8968-0831","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters","Manager",,,,,,,
"Ms.","Abel","Cabecinhas","Staff","herculano.ximenes@redcross.tl",,"Timor-Leste Red Cross Society","CVTL","+670 5914-0994","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters","Administrative Officer",,,,,,,
"Ms.","Elly ","Ramos","Staff","elly.marques@redcross.tl",,"Timor-Leste Red Cross Society","CVTL","+670 2517-6880","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters","Geospatial Information Officer",,,,,,,
"Ms.","Emilio","Adevinha","Staff","guilherme.soares@redcross.tl",,"Timor-Leste Red Cross Society","CVTL","+670 9602-6139","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters","Child Care Worker, Part Time",,,,,,,
"Mr.","Nilton","Direitinho","Staff","nilton.moniz@redcross.tl",,"Timor-Leste Red Cross Society","CVTL","+670 6416-4511","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters","Safety Officer",,,,,,,
"Mr.","Goku","Gusmão ","Staff","goku.gohan@redcross.tl",,"Timor-Leste Red Cross Society","CVTL","+670 7734-8544","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters","Procurement Officer",,,,,,,
"Mr.","José","Hugo","Staff","jose.saboga@redcross.tl",,"Timor-Leste Red Cross Society","CVTL","+670 1858-9018","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters","DRR Officer",,,,,,,
"Mr.","Xanana","Cabecinhas","Staff","xanana.chilro@redcross.tl",,"Timor-Leste Red Cross Society","CVTL","+670 4415-5356","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters","DRR Manager",,,,,,,
"Ms.","Adriana","Botelheiro","Staff","dinis.macedo@redcross.tl",,"Timor-Leste Red Cross Society","CVTL","+670 1201-3440","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters","Warehouse Officer",,,,,,,
"Mr.","Duarte","Ojeda","Staff","duarte.botelheiro@redcross.tl",,"Timor-Leste Red Cross Society","CVTL","+670 2728-8233","Cruz Vermelha de Timor-Leste (CVTL) National Headquarters","Administrative Officer",,,,,,,
"Mr.","Juliana","Vidigal dos Santos","Volunteer","juliana.vidigaldossantos@gmail.com","+(670) 2906-8755","Timor-Leste Red Cross Society","CVTL",,,,"Tasqolo","TL","Bobonaro","Bobonaro","Lour",-9.06795,125.35758
"Mr.","Francisco","Rogerio","Volunteer","francisco.rogerio@hotmail.com","+(670) 6276-9280","Timor-Leste Red Cross Society","CVTL",,,,"Couguira","TL","Baucau","Laga","Tequino Mata",-8.49722,126.60278
