Course,Organisation,Facility,Start,End,Hours,Sex,First Name,Last Name,Email
Mass Care: An Overview,American Red Cross of Greater New York  ,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Mr.,Tracy,Bradford,tracy.bradford@gmail.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Mr.,Silas,Figueroa,silas.figueroa@yahoo.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Ms.,Sandy,Herring,sandy.herring@newyorkcares.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Mr.,Arthur,Pruitt,arthur.pruitt@safehorizon.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Mr.,Irwin,Saunders,irwin.saunders@gmail.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Ms.,Adella,Willis,adella.willis@newyorkcares.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Mr.,Dario,Shaffer,dario.shaffer@gmail.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Ms.,Eufemia,Hodges,eufemia.hodges@teamrubiconusa.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Ms.,Gwenda,Lambert,gwenda.lambert@yahoo.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Mr.,Simon,Estes,simon.estes@worldcares.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Ms.,Noma,Landry,noma.landry@salvationarmy.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Ms.,Jung,Stanton,jung.stanton@yahoo.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Ms.,Echo,Harrell,echo.harrell@salvationarmy.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Mr.,Junior,Joseph,junior.joseph@yahoo.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Ms.,Mirna,Avila,mirna.avila@yahoo.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Mr.,Josef,Briggs,josef.briggs@yahoo.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Mr.,Luis,Lawson,luis.lawson@gmail.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Ms.,Vonda,George,vonda.george@us.tzuchi.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Ms.,Stacy,Stafford,stacy.stafford@newyorkcares.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Ms.,Joslyn,Beltran,joslyn.beltran@gmail.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Mr.,Warner,Rangel,warner.rangel@teamrubiconusa.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Mr.,Rex,Duncan,rex.duncan@gmail.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Mr.,Brock,Manning,brock.manning@worldvision.org
