"Project Name","Activities","Country","L1","L2","L3","L4","Lat","Lon","ContactPerson","Comments","Beneficiaries:Individuals","Beneficiaries:Families","Beneficiaries:Pupils","Beneficiaries:Teachers","Beneficiaries:Men","Beneficiaries:Women"
"Community Based Disaster Management","Community organisation, Capacity Building, CDRT (Community disaster response teams)","Timor-Leste","Baucau","Laga","Soba","Soba","-8.47342","126.59791","Donato,Urbana,donato.urbana@gmail.com,",,152,,,,,
"Community Based Disaster Management","Community organisation, Capacity Building, CDRT (Community disaster response teams)","Timor-Leste","Bobonaro","Bobonaro","Lourba","Zobelis","-9.01786","125.35333","Joana,Arriaga,joana.arriaga@yahoo.com,",,421,,,,,
"Community Based Disaster Management","Community organisation, Capacity Building, CDRT (Community disaster response teams)","Timor-Leste","Liquiçá","Liquiçá","Dato","Nunturi","-8.64709","125.34227","Francisco,Hendrigue Pinto,francisco.hendriguepinto@hotmail.com,",,453,,,,,
"Community Based Disaster Management","Community organisation, Capacity Building, CDRT (Community disaster response teams)","Timor-Leste","Oecusse","Passabe","Abani","Ato","-9.47556","124.34222","Sergio,Polido,sergio.polido@gmail.com,",,386,,,,,
"Community Based Disaster Management","Community organisation, Capacity Building, CDRT (Community disaster response teams)","Timor-Leste","Ainaro","Maubisse","Manetu","Maulau","-8.87917","125.66389","Ercia,Licinia,ercia.licinia@yahoo.com,",,407,,,,,
"Community Based Disaster Management","Community organisation, Capacity Building, CDRT (Community disaster response teams)","Timor-Leste","Oecusse","Nitibe","Usi-Taco","Nitibe","-9.34499","124.22979","Telma,Antonio Belo,telma.antoniobelo@hotmail.com,",,211,,,,,
"Community Based Disaster Management","Community organisation, Capacity Building, CDRT (Community disaster response teams)","Timor-Leste","Manatuto","Laclubar","Funar","Batamac","-8.75332","125.9","Durcelina,Vidigal dos Santos,durcelina.vidigaldossantos@gmail.com,",,164,,,,,
"Community Based Disaster Management","Community organisation, Capacity Building, CDRT (Community disaster response teams)","Timor-Leste","Ermera","Letefoho","Ducurai","Hatulete","-8.86284","125.4945","Tomas,Clara,tomas.clara@yahoo.com,",,177,,,,,
"Community Based Sanitation Infrastructure improvement","Water Supply, Community organisation","Timor-Leste","Dili","Vera Cruz","Vila Verde","Vila Verde","-8.5579","125.56633","Vidiana,Pedro Pinto,vidiana.pedropinto@hotmail.com,",,,169,,,,
"Community Based Sanitation Infrastructure improvement","Water Supply, Community organisation","Timor-Leste","Viqueque","Uatucarbau","Afaloicai","Bahatata","-8.64917","126.65131","Abril,da Costa Belo,abril.dacostabelo@gmail.com,",,,279,,,,
"Community Based Sanitation Infrastructure improvement","Water Supply, Community organisation","Timor-Leste","Viqueque","Watulari","Afaloicai","Siquilari","-8.74964","126.52186","Augusto,de Deus Gomes,augusto.dedeusgomes@yahoo.com,",,,135,,,,
"Community Based Sanitation Infrastructure improvement","Water Supply, Community organisation","Timor-Leste","Lautém","Lospalos","Fuiloro","Sentral","-8.52188","126.99469","Graciano,Helena,graciano.helena@hotmail.com,",,,78,,,,
"Community Based Sanitation Infrastructure improvement","Water Supply, Community organisation","Timor-Leste","Liquiçá","Liquiçá","Darulete","Fahate","-8.66992","125.34759","Domingos,Nunes,domingos.nunes@gmail.com,",,,70,,,,
"Community Based Sanitation Infrastructure improvement","Water Supply, Community organisation","Timor-Leste","Oecusse","Passabe","Abani","Fot","-9.4698","124.34225","Abelito,Cardoso,abelito.cardoso@yahoo.com,",,,112,,,,
"Community Based Sanitation Infrastructure improvement","Water Supply, Community organisation","Timor-Leste","Ermera","Railaco","Taraso","Datoleo","-8.65719","125.48918","Agapito,Pereira,agapito.pereira@hotmail.com,",,,274,,,,
"Community Based Sanitation Infrastructure improvement","Water Supply, Community organisation","Timor-Leste","Ainaro","Hatu-Udo","Foho-ai-Lico","Aimorbada","-9.17228","125.64499","Acacio,Ojeda,acacio.ojeda@gmail.com,",,,174,,,,
"Community Based Sanitation Infrastructure improvement","Water Supply, Community organisation","Timor-Leste","Dili","Atauro","Atauro Vila/Maumeta","Atauro","-8.26642","125.59909","Natalino,da Costa Lopes,natalino.dacostalopes@yahoo.com,",,,222,,,,
"Community Based Sanitation Infrastructure improvement","Water Supply, Community organisation","Timor-Leste","Ainaro","Maubisse","Manetu","Maulau","-8.87917","125.66389","Isabel,de Oliveira,isabel.deoliveira@hotmail.com,",,,165,,,,
