"Course","Organisation","Facility","Start","End","Hours","Sex","First Name","Last Name","Email"
"Basics of First Aid","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-02","2012-01-03",16,"Mr.","Alegria","Botelheiro","alegria.botelheiro@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-02","2012-01-03",16,"Mr.","Guido","Idalina","guido.idalina@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-02","2012-01-03",16,"Mr.","Lauriano","Martins","lauriano.martins@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-02","2012-01-03",16,"Mr.","Guilherme ","Helena","guilherme.helena@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-02","2012-01-03",16,"Mr.","Bonifacio","Boavida","bonifacio.boavida@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-02","2012-01-03",16,"Ms.","Joaninha","Pinto Soares","joaninha.pintosoares@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-02","2012-01-03",16,"Ms.","Telma","da Costa Oliveira","telma.dacostaoliveira@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-02","2012-01-03",16,"Mr.","Natalino","de Carvalho","natalino.decarvalho@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-02","2012-01-03",16,"Mr.","Juvenal","Polido","juvenal.polido@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-23","2012-01-23",4,"Mr.","Johanes","Goncalves","johanes.goncalves@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-23","2012-01-23",4,"Mr.","Acacio","Mondego","acacio.mondego@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-23","2012-01-23",4,"Ms.","Elly ","Noel Sila","elly.noelsila@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-23","2012-01-23",4,"Ms.","Mariana","Zolo","mariana.zolo@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-23","2012-01-23",4,"Mr.","Fernanda","Rente","fernanda.rente@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-23","2012-01-23",4,"Ms.","Emilio","da Costa Oliveira","emilio.dacostaoliveira@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-23","2012-01-23",4,"Mr.","Lino","Albuquequer","lino.albuquequer@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-23","2012-01-23",4,"Mr.","Johanes","Horta","johanes.horta@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-23","2012-01-23",4,"Mr.","Donato","Sereno","donato.sereno@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-23","2012-01-23",4,"Mr.","Abrao","Cromos","abrao.cromos@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-23","2012-01-23",4,"Ms.","Vanessa","dos Santos Barros","vanessa.dossantosbarros@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-23","2012-01-23",4,"Mr.","Leonito","Xavier","leonito.xavier@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-23","2012-01-23",4,"Ms.","Manuela","Maria","manuela.maria@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-05","2012-01-06",16,"Mr.","Apolonius","da Cunha","apolonius.dacunha@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-05","2012-01-06",16,"Mr.","Leonito","Alves","leonito.alves@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-05","2012-01-06",16,"Mr.","Alcino","Salvador","alcino.salvador@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-05","2012-01-06",16,"Mr.","Nuno","Rosmaninho","nuno.rosmaninho@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-05","2012-01-06",16,"Mr.","Severina","Xavier","severina.xavier@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-05","2012-01-06",16,"Mr.","Estanislao","Fatima Rebelo","estanislao.fatimarebelo@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-05","2012-01-06",16,"Ms.","Florinda","Peneda","florinda.peneda@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-05","2012-01-06",16,"Ms.","Rita","Saboga","rita.saboga@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-05","2012-01-06",16,"Mr.","Duarte","da Silva","duarte.dasilva@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-05","2012-01-06",16,"Mr.","Domingos","Moises","domingos.moises@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-05","2012-01-06",16,"Mr.","Abelito","Horta","abelito.horta@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-05","2012-01-06",16,"Mr.","Antonio","Botelheiro","antonio.botelheiro@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-05","2012-01-06",16,"Mr.","Januario","Cromos","januario.cromos@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-05","2012-01-06",16,"Mr.","Alegria","Gouveia Leite","alegria.gouveialeite@gmail.com"
