Project,Organisation,Themes,FPFirstNameX,FPLastNameX,FPEmailX,FPMobilePhoneX,Start DateX,End DateX,BudgetX,CommentsX
Temporary Shelter Constuction,Disaster Management Center,Shelter,Natalino,Amaral,natalino.amaral@mss.gov.tl,+(670) 2906-8755,1/01/10,31/12/12,100000,
House Repairs,National Disaster Management Center,Shelter,Isabel,Zacarias,isabel.zacarias@tl.mercycorps.org,+(670) 6276-9280,1/07/11,30/06/12,200000,
Well Cleaning,Oxfam,WatSan,Beatriz,Albuquequer,beatriz.albuquequer@oxfam.org.tl,+(670) 4639-3551,1/01/11,31/12/12,40000,
Distribution of Drinking Water,Oxfam,WatSan,Soraia,Moises,soraia.moises@redcross.tl,+(670) 5295-1204,1/01/12,30/06/12,5000000,
Distribution of Water Purification Tablets,Save the Children,WatSan,Marcelo,Polainos,marcelo.polainos@tl.mercycorps.org,+(670) 4327-7315,1/04/12,30/09/12,100000,
Water Tankers,Save the Children,WatSan,Justiano,Macedo,justiano.macedo@oxfam.org.tl,+(670) 2611-9149,1/01/10,31/12/11,200000,
Community Based Hygine Promotion,Sri Lanka Red Cross Society,WatSan,Soraia,Moises,soraia.moises@redcross.tl,+(670) 5295-1204,1/04/12,31/12/12,40000,
Distribution of Rice,UNICEF,Food Distribution,Claudia,Gohan,claudia.gohan@redcross.tl,+(670) 7358-3044,1/01/12,30/06/12,100000,
Distribution of MREs,Oxfam,Food Distribution,Adriana,Ramos,adriana.ramos@redcross.tl,+(670) 1818-7216,1/01/11,31/12/12,200000,
Distribution of Meals,Save the Children,Food Distribution,Elly,de Carvalho,elly.de.carvalho@tl.mercycorps.org,+(670) 6166-3906,1/04/12,31/12/12,40000,
First Aid ,Sri Lanka Red Cross Society,Health,Orlando,Fahik Batak,orlando.fahik.batak@care.org,+(670) 4169-1104,1/01/11,31/12/11,5000000,
Established Field Hospital,National Disaster Management Center,Health,Yakobus,Maia,yakobus.maia@tl.mercycorps.org,+(670) 7187-1430,1/01/12,30/06/12,1000000,
Psychosocial first aid,Sri Lanka Red Cross Society,Health,,,,,,,,
Dengue prevention program,Save the Children,Health,,,,,,,,
Health awareness Campaign,UNICEF,Health,,,,,,,,
